Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2023","History","Mauryan Empire: Administration & Art","Hard","Which of the following best describes the function of 'Samaharta' in Mauryan administration?","Chief Military Commander","Chief Revenue Collector","Chief Justice","Chief Priest",1,"Chief Revenue Collector","Samaharta was the Chief Revenue Collector."
"2023","History","Gupta Period: Golden Age of Art & Science","Hard","Consider the following statements regarding the Gupta coinage: 1. Gupta coins were primarily made of gold. 2. They depicted images of the Gupta rulers and their deities. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Gupta coins were mostly gold and featured rulers and deities."
"2023","History","Bhakti & Sufi Movements","Hard","Which of the following statements best describes the philosophy of Vallabhacharya?","Advaita Vedanta","Vishishtadvaita","Dvaitadvaita","Shuddhadvaita",3,"Shuddhadvaita","Vallabhacharya propounded the philosophy of Shuddhadvaita (pure non-dualism)."
"2023","History","Mughal Administration, Art & Architecture","Hard","Consider the following pairs:
1. Diwan-i-Insha: Royal Correspondence
2. Mir Bakshi: Military Affairs
3. Qazi-ul-Quzat: Religious Affairs
Which of the pairs given above are correctly matched?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","All the pairs are correctly matched."
"2023","History","Vijayanagara Empire","Hard","Consider the following statements about the Vijayanagara Empire:
1. It was founded on the banks of the Tungabhadra River.
2. It faced constant conflict with the Bahmani Sultanate.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","The Vijayanagara Empire was founded on the banks of the Tungabhadra and faced conflict with the Bahmani Sultanate."
"2023","History","Advent of Europeans & British Expansion","Hard","Consider the following statements regarding the economic policies of the British in India:
1. The British promoted the cultivation of cash crops.
2. The British encouraged the development of traditional Indian handicrafts.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","The British promoted cash crops but discouraged traditional handicrafts."
"2023","History","Social-Religious Reform Movements (19th Century)","Hard","Which of the following best describes the relationship between social reform movements and the Indian National Congress?","The Congress actively promoted social reform as its primary goal.","The Congress largely avoided social reform to focus on political independence.","The Congress opposed social reform movements.","The Congress was founded by social reformers.",1,"The Congress largely avoided social reform to focus on political independence.","The Congress prioritized political independence, often deferring social reform to avoid internal divisions."
"2023","History","Revolt of 1857 & Rise of Nationalism","Hard","Who among the following was the founder of the 'Ghadar Party'?","Bhagat Singh","Lala Hardayal","Subhas Chandra Bose","Sardar Vallabhbhai Patel",1,"Lala Hardayal","Lala Hardayal was the founder of the Ghadar Party."
"2023","History","Indian National Congress (Moderate & Extremist Phase)","Hard","Consider the following statements: 1. Moderates believed in the efficacy of prayers and petitions. 2. Extremists advocated for self-reliance and constructive programs. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both statements accurately describe the beliefs of Moderates and Extremists."
"2023","History","Gandhian Era: Non-Cooperation, Civil Disobedience, Quit India","Hard","Which of the following events is considered the immediate cause for the launch of the Quit India Movement?","Failure of the Cripps Mission","The August Offer","The Second World War","The Simon Commission Report",0,"Failure of the Cripps Mission","The failure of the Cripps Mission was the immediate cause for the Quit India Movement."
"2023","History","General","Hard","Dhanyakataka, which flourished as a prominent Buddhist centre under the Mahasanghikas, is located in which one of the following regions?","Andhra","Gandhara","Kalinga","Magadha",0,"Andhra","Dhanyakataka, modern-day Amaravati in Andhra Pradesh, was a significant capital and Buddhist site for the Satavahana dynasty."
"2022","History","Ancient History","Hard","With reference to the history of ancient India, consider the following statements:
1. Unlike the Mauryas, the Sungas did not give much importance to stone architecture.
2. As a result of their conquests, the Kalingas emerged as the earliest rulers to establish their kingdom in the peninsular India.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",3,"Neither 1 nor 2","Statement 1 is incorrect. The Sungas continued Mauryan traditions in art and architecture, including stone architecture. Statement 2 is incorrect. The Satavahanas were the earliest rulers to establish a kingdom in peninsular India, not the Kalingas. Therefore, neither statement is correct."
"2022","History","Medieval History","Hard","Which of the following statements about the 'Welfare State' are correct?
1. The concept of Welfare State is mentioned in the Constitution of India.
2. The goal of Welfare State is to promote the well-being of the people.
3. The Welfare State is based on the principles of democracy and social justice.
Select the correct answer using the code given below:","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","Statement 1 is correct. The Directive Principles of State Policy in the Constitution of India embody the concept of a Welfare State. Statement 2 is correct. Promoting the well-being of the people is a core objective. Statement 3 is correct. Welfare states are generally associated with democratic principles and social justice. Therefore, all three statements are correct."
"2022","History","Indus Valley Civilization & Vedic Age","Hard","Consider the following statements regarding the Vedic period:
1. The early Vedic society was primarily pastoral.
2. The concept of 'Varna' was absent in the early Vedic period.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Early Vedic society was pastoral, and the Varna system was not yet fully developed."
"2022","History","Buddhism & Jainism: Philosophy & Architecture","Hard","Consider the following pairs:
1. Stupa: Depository of relics
2. Chaitya: Place of worship
3. Vihara: Dwelling place of monks
Which of the pairs given above is/are correctly matched?","1 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","All three pairs correctly describe the function of Stupas, Chaityas, and Viharas."
"2022","History","Mauryan Empire: Administration & Art","Hard","Which of the following officials in the Mauryan administration was responsible for maintaining law and order in cities?","Rajukas","Yuktas","Nagaraka","Pradeshikas",2,"Nagaraka","Nagaraka was responsible for maintaining law and order in cities."
"2022","History","Gupta Period: Golden Age of Art & Science","Hard","Which of the following mathematicians is credited with the concept of zero and the decimal system during the Gupta period?","Aryabhata","Varahamihira","Brahmagupta","Bhaskara I",0,"Aryabhata","Aryabhata is credited with significant contributions to the decimal system and concept of zero."
"2022","History","Bhakti & Sufi Movements","Hard","Consider the following pairs:
Saint : Teaching
1. Dadu Dayal : Rejection of caste
2. Mirabai : Devotion to Krishna
3. Guru Nanak : Emphasis on pilgrimage
Which of the pairs given above is/are correctly matched?","1 and 2 only","2 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","Dadu Dayal rejected caste, Mirabai was devoted to Krishna, Nanak opposed pilgrimage."
"2022","History","Mughal Administration, Art & Architecture","Hard","Which of the following best describes the 'Mahzar Nama' issued by Akbar?","A decree on land revenue","A document asserting religious authority","A military proclamation","A trade agreement",1,"A document asserting religious authority","Mahzar Nama asserted Akbar's religious authority."
"2022","History","Vijayanagara Empire","Hard","Which of the following was NOT a feature of the Vijayanagara administration?","Centralized control over provinces","Nayankara system","Village autonomy","Strong navy",0,"Centralized control over provinces","Vijayanagara administration was decentralized, not centrally controlled."
"2022","History","Advent of Europeans & British Expansion","Hard","Which of the following factors contributed to the success of the British in India?
1. Superior military technology
2. Political disunity among Indian rulers
3. Economic policies that favored the British
Select the correct answer using the code given below:","1 only","1 and 2 only","2 and 3 only","1, 2 and 3",3,"1, 2 and 3","All the factors contributed to the success of the British in India."
"2022","History","Social-Religious Reform Movements (19th Century)","Hard","Consider the following pairs:
Movement: Leader
1. Aligarh Movement: Muhammad Iqbal
2. Arya Samaj: Swami Dayanand Saraswati
3. Brahmo Samaj: Raja Ram Mohan Roy
Which of the pairs given above is/are correctly matched?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"2 and 3 only","Muhammad Iqbal was not the leader of Aligarh Movement."
"2022","History","Revolt of 1857 & Rise of Nationalism","Hard","Consider the following pairs:
1. Radhakanta Deb : Founder of Hindu College, Calcutta
2. Lakshmi Bai : Died in Gwalior
3. Surendranath Banerjee : Founder of the Indian Association
Which of the pairs given above is/are correct?","1 and 2","2 and 3","2 only","1 and 3",1,"2 and 3","Lakshmi Bai died in Gwalior and Surendranath Banerjee founded the Indian Association."
"2022","History","Indian National Congress (Moderate & Extremist Phase)","Hard","Which of the following methods was NOT typically employed by the Moderate leaders of the Indian National Congress?","Petitions to the British government","Constitutional agitation","Mass mobilization and strikes","Public awareness campaigns",2,"Mass mobilization and strikes","Moderates did not typically employ mass mobilization and strikes."
"2022","History","Gandhian Era: Non-Cooperation, Civil Disobedience, Quit India","Hard","Consider the following statements regarding the impact of the Non-Cooperation Movement:
1. It led to the widespread participation of women in the national movement.
2. It resulted in the establishment of numerous national schools and colleges.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both statements are correct regarding the impact of the Non-Cooperation Movement."
"2022","History","General","Hard","Consider the following pairs:
Ashoka's major rock edicts : Location in the State of
1. Dhauli : Odisha
2. Erragudi : Andhra Pradesh
3. Jaugada : Madhya Pradesh
4. Kalsi : Karnataka
How many pairs given above are correctly matched?","Only one pair","Only two pairs","Only three pairs","All four pairs",1,"Only two pairs","Dhauli (Odisha) and Erragudi (Andhra Pradesh) are correctly matched; Jaugada is in Odisha and Kalsi is in Uttarakhand."
"2021","History","Medieval History","Hard","With reference to the history of India, the terms ‘kulyavapa’ and ‘dronavapa’ denote","measurement of land","coins of different monetary value","classification of urban land","religious rituals",0,"measurement of land","In the context of medieval Indian history, particularly during the Delhi Sultanate period, 'kulyavapa' and 'dronavapa' were terms used to denote measurements of land. They were units used for assessing land revenue."
"2021","History","Indus Valley Civilization & Vedic Age","Hard","Which of the following is/are NOT the characteristic(s) of the Indus Valley Civilization?
1. Well-planned cities with advanced drainage systems.
2. Standardized weights and measures.
3. Iron implements for agriculture.
Select the correct answer using the code given below:","1 only","3 only","1 and 2 only","2 and 3 only",1,"3 only","The Indus Valley Civilization did not use iron implements for agriculture."
"2021","History","Buddhism & Jainism: Philosophy & Architecture","Hard","Which of the following architectural features is commonly found in Jain temples?","Toranas","Chattrimukha","Gopurams","Stupas",1,"Chattrimukha","Chattrimukha, a four-faced structure, is a common feature in Jain temples."
"2021","History","Gupta Period: Golden Age of Art & Science","Hard","Consider the following statements regarding the Ajanta caves: 1. They depict stories from the Jataka tales. 2. They were primarily patronized by the Gupta rulers. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","Ajanta caves depict Jataka tales, but were patronized by various dynasties, not just Guptas."
"2021","History","Bhakti & Sufi Movements","Hard","Consider the following statements:
1. The Bhakti movement originated in South India.
2. The Sufi movement originated in Persia.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both statements are correct regarding the origins of the movements."
"2021","History","Mughal Administration, Art & Architecture","Hard","Who among the following translated the 'Rajatarangini' into Persian during the Mughal period?","Abul Fazl","Faizi","Mulla Shah Badakhshi","Abdul Qadir Badauni",2,"Mulla Shah Badakhshi","Mulla Shah Badakhshi translated Rajatarangini into Persian."
"2021","History","Vijayanagara Empire","Hard","The Battle of Talikota was fought in which year?","1526 AD","1565 AD","1600 AD","1761 AD",1,"1565 AD","The Battle of Talikota was fought in 1565 AD."
"2021","History","Advent of Europeans & British Expansion","Hard","Consider the following statements regarding the impact of British rule on the Indian economy:
1. The British introduced a uniform currency system.
2. The British promoted the growth of Indian industries.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","The British introduced a uniform currency system, but did not promote Indian industries."
"2021","History","Social-Religious Reform Movements (19th Century)","Hard","Which of the following social reformers is known for his efforts in promoting education among women and establishing schools for girls?","Swami Vivekananda","Raja Ram Mohan Roy","Jyotiba Phule","Dayananda Saraswati",2,"Jyotiba Phule","Jyotiba Phule is renowned for his pioneering work in women's education."
"2021","History","Revolt of 1857 & Rise of Nationalism","Hard","Who among the following organized the 'Asiatic Society of Bengal'?","William Jones","Warren Hastings","Lord Curzon","Lord Wellesley",0,"William Jones","William Jones organized the Asiatic Society of Bengal."
"2021","History","Indian National Congress (Moderate & Extremist Phase)","Hard","With reference to the Indian freedom struggle, who of the following was/were associated with the 'Extremist' wing of the Congress? 1. Aurobindo Ghosh 2. M.G. Ranade 3. Rash Behari Bose","1 only","2 and 3 only","1 and 3 only","1, 2 and 3",2,"1 and 3 only","Aurobindo Ghosh and Rash Behari Bose were associated with the Extremist wing."
"2021","History","Gandhian Era: Non-Cooperation, Civil Disobedience, Quit India","Hard","Who among the following advocated for the establishment of 'Lok Sevak Sangh' after the dissolution of the Indian National Congress?","Jayaprakash Narayan","Acharya Narendra Dev","Mahatma Gandhi","Vinoba Bhave",2,"Mahatma Gandhi","Mahatma Gandhi advocated for the establishment of 'Lok Sevak Sangh'."
"2021","History","General","Hard","Consider the following statements about Chausath Yogini Temple situated near Morena:
1. It is a circular temple built during the reign of Kachchhapaghata Dynasty.
2. It is the only circular temple built in India.
3. It was meant to promote the Vaishnava cult in the region.
4. Its design has given rise to a popular belief that it was the inspiration behind the Indian Parliament building.
Which of the statements given above are correct?","1 and 2","2 and 3 only","1 and 4","2, 3 and 4",2,"1 and 4","The temple was built by the Kachchhapaghata king Devapala and its circular design is believed to have inspired the old Parliament House."
"2020","History","Ancient History","Hard","Which one of the following explains the meaning of the term 'Therigatha'?","Hymns in praise of Jain Tirthankaras","Buddhist nuns' songs","A grammar book related to Vedic rituals","Stories on lives of certain powerful women",1,"Buddhist nuns' songs","'Therigatha' is a collection of poems written by Buddhist nuns, making it a part of the Buddhist Pali Canon. These songs express their personal experiences and insights on their spiritual journey."
"2020","History","Medieval History","Hard","With reference to the history of India, the terms ‘kulyavapa’ or ‘dronavapa’ denote","measurement of land","coins of different monetary value","classification of urban land","religious rituals",0,"measurement of land","Kulyavapa and Dronavapa were units of land measurement used during the Delhi Sultanate period in India."
"2020","History","Modern History","Hard","Who among the following Mughal Emperors shifted emphasis from illustrated manuscripts to album and individual portrait?","Humayun","Akbar","Jahangir","Shah Jahan",2,"Jahangir","Jahangir shifted the emphasis from illustrated manuscripts to albums and individual portraits. He was known for his keen interest in art and portraiture."
"2020","History","Buddhism & Jainism: Philosophy & Architecture","Hard","Which of the following philosophical systems is/are associated with the concept of 'Syadvada'?","Buddhism","Jainism","Ajivika","Ajñana",1,"Jainism","Syadvada, the doctrine of 'maybe', is a core tenet of Jain philosophy."
"2020","History","Mauryan Empire: Administration & Art","Hard","The term 'Dhamma' in Ashokan inscriptions refers to:","A specific religious sect.","A set of ethical principles and moral conduct.","A system of taxation.","A type of currency.",1,"A set of ethical principles and moral conduct.","Dhamma refers to a set of ethical principles and moral conduct."
"2020","History","Gupta Period: Golden Age of Art & Science","Hard","Consider the following statements regarding the Gupta period: 1. It witnessed the construction of numerous rock-cut caves. 2. The decimal system, including the concept of zero, was developed during this period. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","The decimal system with zero was developed during the Gupta period, but rock-cut caves existed before."
"2020","History","Bhakti & Sufi Movements","Hard","Which of the following is/are the core teachings of Sufism?
1. Emphasis on love and devotion to God.
2. Rejection of worldly possessions.
Select the correct answer using the code given below.","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Sufism emphasizes love for God and detachment from worldly things."
"2020","History","Mughal Administration, Art & Architecture","Hard","With reference to Mughal India, what is/are the difference/differences between Jagirdar and Zamindar?
1. Jagirdars were holders of land assignments in lieu of salary, whereas Zamindars were holders of revenue rights without obligation to perform any duty other than revenue collection.
2. Jagirdars were responsible for police and judicial duties in their assignments, whereas Zamindars were not.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","Jagirdars held land assignments, Zamindars had revenue rights."
"2020","History","Vijayanagara Empire","Hard","The Vijayanagara ruler Krishnadeva Raya's work Amuktamalyada was in which language?","Telugu","Tamil","Kannada","Sanskrit",0,"Telugu","Amuktamalyada was written in Telugu by Krishnadeva Raya."
"2020","History","Advent of Europeans & British Expansion","Hard","Consider the following events related to British expansion in India:
1. Annexation of Sindh
2. Second Anglo-Sikh War
3. Subsidiary Alliance with Awadh
Arrange these events in chronological order.","1-2-3","3-1-2","2-3-1","1-3-2",1,"3-1-2","The correct chronological order is Subsidiary Alliance, Annexation of Sindh, Second Anglo-Sikh War."
"2020","History","Social-Religious Reform Movements (19th Century)","Hard","Consider the following statements regarding the social and religious reform movements in India during the 19th century:
1. They were primarily focused on addressing the issues of the upper castes.
2. They often drew inspiration from Western ideas and values.
3. They played a significant role in promoting national consciousness.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"2 and 3 only","The movements addressed issues across castes and significantly contributed to nationalism."
"2020","History","Revolt of 1857 & Rise of Nationalism","Hard","Which of the following factors contributed to the rise of Indian nationalism in the late 19th century?
1. Economic exploitation by the British.
2. Western education and its impact.
3. Socio-religious reform movements.
Select the correct answer using the code given below:","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",4,"","All the factors contributed to the rise of Indian nationalism."
"2020","History","Indian National Congress (Moderate & Extremist Phase)","Hard","Consider the following statements regarding the Swadeshi Movement: 1. It was primarily an economic movement aimed at promoting Indian industries. 2. It led to the establishment of national schools and colleges. 3. It was supported by both Moderate and Extremist leaders within the Congress.","1 and 2 only","1 and 3 only","2 and 3 only","1, 2 and 3",3,"1, 2 and 3","The Swadeshi Movement had economic and educational dimensions and garnered support from both factions."
"2020","History","Gandhian Era: Non-Cooperation, Civil Disobedience, Quit India","Hard","With reference to the proposals of Cripps Mission, consider the following statements:
1. The Constituent Assembly would have members nominated by the Provincial Assemblies as well as by the Princely States.
2. Any Province which was not prepared to accept the new Constitution would have the right to sign a separate agreement with Britain regarding its future status.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both statements regarding the Cripps Mission are correct."
"2020","History","General","Hard","With reference to the religious history of India, consider the following statements:
1. Sthaviravadins belong to Mahayana Buddhism.
2. Lokottaravadin sect was an offshoot of Mahasanghika sect of Buddhism.
3. The deification of Buddha by Mahasanghikas fostered the Mahayana Buddhism.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","3 only","1, 2 and 3",1,"2 and 3 only","Sthaviravadins belong to Hinayana, while the Lokottaravadin sect and the concept of a deified Buddha are associated with the Mahasanghikas, precursors to Mahayana."
"2019","History","Medieval History","Hard","Which of the following statements is/are correct regarding the material used for the construction of Qutub Minar?
1. It was built using red sandstone and marble.
2. It was built using only red sandstone.
Select the correct answer using the code given below:","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","Qutub Minar was constructed using red sandstone and marble. Different rulers added to the structure over time, using both materials."
"2019","History","Modern History","Hard","In the context of colonial India, Shah Nawaz Khan, Prem Kumar Sehgal and Gurbaksh Singh Dhillon are remembered as:","Leaders of Swadeshi and Boycott Movement","Members of the Drafting Committee in the Constituent Assembly","Officers of the Indian National Army","Members of the Interim Government in 1946",2,"Officers of the Indian National Army","Shah Nawaz Khan, Prem Kumar Sehgal, and Gurbaksh Singh Dhillon were officers of the Indian National Army (INA) and were tried in the INA trials after World War II."
"2019","History","Indus Valley Civilization & Vedic Age","Hard","Consider the following statements regarding the Indus Valley Civilization:
1. It was predominantly a secular civilization and the religious element, though present, did not dominate the scene.
2. During this period, cotton was used for manufacturing textiles in India.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","The Indus Valley Civilization was secular, and cotton was used for textiles."
"2019","History","Mauryan Empire: Administration & Art","Hard","Consider the following statements regarding Mauryan art: 1. It was influenced by Persian art. 2. It was primarily religious in nature. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both statements are correct about Mauryan art's influences and nature."
"2019","History","Gupta Period: Golden Age of Art & Science","Hard","Which of the following literary works are attributed to Kalidasa, a prominent figure of the Gupta period? 1. Raghuvamsha. 2. Abhijnanashakuntalam. 3. Kadambari. Select the correct answer using the code given below:","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","Raghuvamsha and Abhijnanashakuntalam are by Kalidasa; Kadambari is by Banabhatta."
"2019","History","Mughal Administration, Art & Architecture","Hard","Consider the following statements regarding the reign of Shah Jahan:
1. The Peacock Throne was commissioned during his reign.
2. He introduced the Chahar Taslim custom.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both the Peacock Throne and Chahar Taslim were introduced."
"2019","History","Vijayanagara Empire","Hard","Who among the following was the founder of the Vijayanagara Empire?","Harihara and Bukka","Krishnadeva Raya","Ramaraya","Sadasiva Raya",0,"Harihara and Bukka","Harihara and Bukka founded the Vijayanagara Empire."
"2019","History","Advent of Europeans & British Expansion","Hard","Consider the following statements regarding the impact of British rule on Indian society:
1. The British introduced Western education.
2. The British promoted social reforms such as the abolition of Sati.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","The British introduced Western education and promoted social reforms."
"2019","History","Revolt of 1857 & Rise of Nationalism","Hard","Who among the following was/were associated with the suppression of the Revolt of 1857 in Delhi?
1. John Nicholson
2. Colin Campbell
3. Hugh Rose
Select the correct answer using the code given below:","1 only","1 and 2 only","2 and 3 only","1, 2 and 3",1,"1 and 2 only","John Nicholson was associated with the suppression of the Revolt of 1857 in Delhi."
"2019","History","Indian National Congress (Moderate & Extremist Phase)","Hard","The concept of 'passive resistance' was primarily advocated by which group within the Indian National Congress?","Moderates","Extremists","Revolutionaries","Socialists",1,"Extremists","Extremists often advocated for passive resistance."
"2019","History","Gandhian Era: Non-Cooperation, Civil Disobedience, Quit India","Hard","With reference to the Indian freedom struggle, consider the following events:
1. Mutiny of Royal Indian Navy
2. Quit India Movement Launched
3. Second Round Table Conference
What is the correct chronological sequence of the above events?","1-2-3","2-3-1","3-2-1","3-1-2",2,"3-2-1","The correct chronological order is 3-2-1 (Second Round Table Conference, Quit India, RIN Mutiny)."
