Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2022","Environment","General","Hard","Which one of the following has been constituted under the Environment (Protection) Act, 1986?","Central Water Commission","Central Ground Water Board","Central Ground Water Authority","National Water Development Agency",2,"Central Ground Water Authority","The Central Ground Water Authority (CGWA) was constituted under Section 3(3) of the Environment (Protection) Act, 1986."
"2022","Environment","General","Hard","""Climate Action Tracker"" which monitors the emission reduction pledges of different countries is a:","database created by coalition of research organisations","wing of Intergovernmental Panel on Climate Change","committee under United Nations Framework Convention on Climate Change","agency promoted and financed by United Nations Environment Programme and World Bank",0,"database created by coalition of research organisations","The Climate Action Tracker is an independent scientific analysis produced by two research organisations, Climate Analytics and NewClimate Institute."
"2021","Environment","Biodiversity","Hard","Consider the following:
1. Bats
2. Bears
3. Rodents
The phenomenon of hibernation can be observed in which of the above?","1 and 2 only","2 only","1, 2 and 3","Hibernation cannot be observed in any of the above",1,"2 only","Hibernation is a state of inactivity characterized by a decrease in body temperature, breathing rate, heart rate, and metabolic rate. Bears are well-known hibernators. While some bats and rodents enter a state of torpor, it is not considered true hibernation in the same way as bears."
"2021","Environment","Pollution","Hard","Which of the following is/are the example/examples of chemical pollution of water?
1. Phosphates
2. Nitrates
3. Arsenic
Select the correct answer using the code given below:","1 only","1 and 2 only","3 only","1, 2 and 3",3,"1, 2 and 3","Phosphates, nitrates, and arsenic are all examples of chemical pollutants in water. Phosphates and nitrates often come from fertilizers and detergents, while arsenic can be naturally occurring or from industrial sources. All three contribute to water pollution."
"2021","Environment","General","Hard","What is blue carbon?","Carbon captured by oceans and coastal ecosystems","Carbon sequestered in forest biomass and agricultural soils","Carbon contained in petroleum and natural gas","Carbon present in atmosphere",0,"Carbon captured by oceans and coastal ecosystems","Blue carbon is the carbon stored in coastal and marine ecosystems like mangroves, tidal marshes, and seagrass meadows."
"2021","Environment","General","Hard","In the context of India, which of the following is/are considered to be practice(s) of eco-friendly agriculture?
1. Crop diversification
2. Legume intensification
3. Tensiometer use
4. Vertical farming
Select the correct answer using the code given below.","1, 2 and 3 only","3 only","4 only","1, 2, 3 and 4",3,"1, 2, 3 and 4","All listed practices—crop diversification, legume intensification, tensiometer use, and vertical farming—contribute to more sustainable and eco-friendly agriculture."
"2020","Environment","Biodiversity","Hard","With reference to the ‘Global Alliance for Climate-Smart Agriculture’, which of the following statements is/are correct?
1. GACSA is an outcome of the Climate Summit held in Paris in 2015.
2. Membership of GACSA does not create any binding obligations.
3. India was instrumental in the creation of GACSA.
Select the correct answer using the code given below:","1 and 3 only","2 only","2 and 3 only","1, 2 and 3",1,"2 only","The Global Alliance for Climate-Smart Agriculture (GACSA) was launched at the UN Climate Summit in New York in September 2014, not in Paris in 2015. Membership is voluntary and does not create binding obligations. India is a member of GACSA but was not instrumental in its creation."
"2020","Environment","Pollution","Hard","Consider the following statements:
1. Coal ash contains arsenic, lead and mercury.
2. Coal-fired power plants release sulphur dioxide and oxides of nitrogen into the environment.
3. High ash content is observed in Indian coal.
Which of the statements given above is/are correct?","1 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","Coal ash does contain heavy metals like arsenic, lead, and mercury. Coal-fired power plants are a major source of sulphur dioxide and nitrogen oxides. Indian coal generally has a high ash content."
"2020","Environment","General","Hard","Which of the following are the most likely places to find the musk deer in its natural habitat?
1. Askot Wildlife Sanctuary
2. Gangotri National Park
3. Kishanpur Wildlife Sanctuary
4. Manas National Park
Select the correct answer using the code given below:","1 and 2 only","2 and 3 only","3 and 4 only","1 and 4 only",0,"1 and 2 only","Musk deer are found in the high alpine regions of the Himalayas, making Askot Wildlife Sanctuary and Gangotri National Park likely habitats."
"2020","Environment","General","Hard","With reference to India's Biodiversity, Ceylon frogmouth, Coppersmith barbet, Gray-chinned minivet and White-throated redstart are:","Primates","Birds","Reptiles","Amphibians",1,"Birds","All the species mentioned—Ceylon frogmouth, Coppersmith barbet, Gray-chinned minivet, and White-throated redstart—are types of birds found in India."
